Text,Actual,Predict,Score,Variant
ini bisa untuk mengendarai motor kan gan? kacanya gelap gak ya klo malam?,default fallback intent,not_ready_kosong_question,0.934425413608551,[]
ready gaaa warna biruu,ready_kosong_question,ready_kosong_question,0.8720300197601318,[]
ready untuk gojek ?,ready_kosong_question,ready_kosong_question,0.8761177062988281,[]
ready maron,ready_kosong_question,ready_kosong_question,0.8789853453636169,[]
ini masih ready gak ya? bs nego? pngiriman dr mnaa? minus apa? ada no wa?,ready_kosong_question,ready_kosong_question,0.945044755935669,[]
ready sebox isi 12,default fallback intent,ready_kosong_question,0.8808150291442871,[]
apa ini ready?,ready_kosong_question,ready_kosong_question,0.8861371874809265,[]
ready buat vios 2005 gan?,ready_kosong_question,ready_kosong_question,0.8806300163269043,[]
rosegold ready?,ready_kosong_question,ready_kosong_question,0.8813801407814026,[]
redy sejadah turki tanggung merk alif warna biru 10 buah ka ?,ready_kosong_question,ready_kosong_question,0.8731054067611694,['warna: biru']
om saya rencana mau beli 10 pcs. tapi mix rasa yg ukuran 30 ml bisa?,ready_kosong_question,not_ready_kosong_question,0.7983759641647339,['size: size 30']
ready nomer brp kak ?,ready_kosong_question,ready_kosong_question,0.8850482106208801,[]
warm brown ready ga,ready_kosong_question,ready_kosong_question,0.8735781311988831,[]
"-1,25 brown ready ga ka?",ready_kosong_question,ready_kosong_question,0.8806681632995605,[]
ready kalo?,default fallback intent,ready_kosong_question,0.8810136318206787,[]
masih ready ga om? thanks.,ready_kosong_question,ready_kosong_question,0.8845096826553345,[]
abu dan movca ready?,ready_kosong_question,ready_kosong_question,0.8880693912506104,[]
ready gan? dapet thermal pastenya gk?,ready_kosong_question,ready_kosong_question,0.8781151175498962,[]
warna hitam masih ready gak,ready_kosong_question,ready_kosong_question,0.8581175208091736,['warna: hitam']
ready ga..ada yg warna hitam ga,ready_kosong_question,ready_kosong_question,0.857538640499115,['warna: hitam']
ready gan? bisa kirim hari ini ya?,ready_kosong_question,ready_kosong_question,0.8802680969238281,[]
tsum2 nya ready 20?,ready_kosong_question,ready_kosong_question,0.8817278146743774,[]
ini ready gak sih boss?,ready_kosong_question,ready_kosong_question,0.8803006410598755,[]
"bisa gan.. tinggal ready warna abu"" saja..m",default fallback intent,ready_kosong_question,0.8736499547958374,[]
klo untuk size 2 dan size 3 ready ga,ready_kosong_question,ready_kosong_question,0.8593129515647888,['size: size 28']
ready bsa pake gojek. oh ya inj ada botol susunya gk ya,default fallback intent,ready_kosong_question,0.8975414633750916,[]
"warna merah tersedia gk, untuk ukuran 2,5/2,5",ready_kosong_question,ready_kosong_question,0.8902333974838257,['warna: merah']
"ready kan sist coklat ukuran 20cm, ak udh order tlg di proses ya sist...",ready_kosong_question,ready_kosong_question,0.8728545308113098,['warna: cokelat']
ready gold sma black kak?,ready_kosong_question,ready_kosong_question,0.8842275142669678,[]
ready warna apa saja ya sist?,ready_kosong_question,ready_kosong_question,0.8853294849395752,[]
42 khaki & navy ready?,ready_kosong_question,ready_kosong_question,0.8647725582122803,['warna: navy']
"sis, ready warna apa yg skrng ada? bisa pake gosend ya sis?",ready_kosong_question,ready_kosong_question,0.9029582738876343,[]
size xl masih?,ready_kosong_question,ready_kosong_question,0.9574702382087708,['size: size xl']
"gan/sis, saya mau order 3 lusin untuk dasi warna merah marun (mix)... ready???",ready_kosong_question,ready_kosong_question,0.8612762093544006,['warna: merah']
size 30 ready,default fallback intent,ready_kosong_question,0.8698278665542603,['size: size 30']
itu ksong ka sisa navy z,default fallback intent,ready_kosong_question,0.9855117797851562,['warna: navy']
ready cheese dan green tea utk hr ini?,ready_kosong_question,ready_kosong_question,0.8889247179031372,[]
selamat siang. warna apa yg ready?,default fallback intent,ready_kosong_question,0.8779014348983765,[]
ini sama fosfor juga ya gan seperti yg hijau? thanks before,default fallback intent,ready_kosong_question,0.9973193407058716,['warna: hijau']
maroon ready ndak,ready_kosong_question,ready_kosong_question,0.8643553853034973,['warna: maroon']
warna putih ada ?,ready_kosong_question,ready_kosong_question,0.9037474393844604,['warna: putih']
untuk nokia 3 ready stock?,ready_kosong_question,ready_kosong_question,0.8738760948181152,[]
masih ready..?warna apa aja?tq,ready_kosong_question,ready_kosong_question,0.8792412877082825,[]
size 39 ready gan...?,ready_kosong_question,ready_kosong_question,0.8682288527488708,['size: size 39']
yg hijau ad kh,ready_kosong_question,ready_kosong_question,0.9409711360931396,['warna: hijau']
xl white ready gan,default fallback intent,ready_kosong_question,0.8784404397010803,[]
iya ready gan ..silhkn diorder,default fallback intent,ready_kosong_question,0.8789182901382446,[]
amlodipine 10 mg ready?,ready_kosong_question,ready_kosong_question,0.8799751400947571,[]
ready kamlang merah nya gan??,ready_kosong_question,ready_kosong_question,0.8640963435173035,['warna: merah']
ready bukunya gan?,ready_kosong_question,ready_kosong_question,0.8765462636947632,[]
ini ready gan? mau order pake gojek hari ini,ready_kosong_question,ready_kosong_question,0.8798283338546753,[]
"navy, abu tua, coklat tua ada sis?",ready_kosong_question,ready_kosong_question,0.8893606662750244,"['warna: navy', 'warna: cokelat']"
yg redy motif apa saja sis,default fallback intent,ready_kosong_question,0.9770514965057373,[]
sis ini 100% sesuai gambar? ada sabuk tali belakangnya juga? mau 4pc ready?,ready_kosong_question,ready_kosong_question,0.89166659116745,[]
