Text,Actual,Predict,Score,Variant
ini bisa untuk mengendarai motor kan gan? kacanya gelap gak ya klo malam?,default fallback intent,ready_kosong_question,0.9657692313194275,[]
ready gaaa warna biruu,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
ready untuk gojek ?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
ready maron,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
ini masih ready gak ya? bs nego? pngiriman dr mnaa? minus apa? ada no wa?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
ready sebox isi 12,default fallback intent,ready_kosong_question,0.9657692313194275,[]
apa ini ready?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
ready buat vios 2005 gan?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
rosegold ready?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
redy sejadah turki tanggung merk alif warna biru 10 buah ka ?,ready_kosong_question,ready_kosong_question,0.9657692313194275,['warna: biru']
om saya rencana mau beli 10 pcs. tapi mix rasa yg ukuran 30 ml bisa?,ready_kosong_question,ready_kosong_question,0.9657692313194275,['size: size 30']
ready nomer brp kak ?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
warm brown ready ga,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
"-1,25 brown ready ga ka?",ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
ready kalo?,default fallback intent,ready_kosong_question,0.9657692313194275,[]
masih ready ga om? thanks.,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
abu dan movca ready?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
ready gan? dapet thermal pastenya gk?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
warna hitam masih ready gak,ready_kosong_question,ready_kosong_question,0.9657692313194275,['warna: hitam']
ready ga..ada yg warna hitam ga,ready_kosong_question,ready_kosong_question,0.9657692313194275,['warna: hitam']
ready gan? bisa kirim hari ini ya?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
tsum2 nya ready 20?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
ini ready gak sih boss?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
"bisa gan.. tinggal ready warna abu"" saja..m",default fallback intent,ready_kosong_question,0.9657692313194275,[]
klo untuk size 2 dan size 3 ready ga,ready_kosong_question,ready_kosong_question,0.9657692313194275,['size: size 2']
ready bsa pake gojek. oh ya inj ada botol susunya gk ya,default fallback intent,ready_kosong_question,0.9657692313194275,[]
"warna merah tersedia gk, untuk ukuran 2,5/2,5",ready_kosong_question,ready_kosong_question,0.9657692313194275,['warna: merah']
"ready kan sist coklat ukuran 20cm, ak udh order tlg di proses ya sist...",ready_kosong_question,ready_kosong_question,0.9657692313194275,['warna: cokelat']
ready gold sma black kak?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
ready warna apa saja ya sist?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
42 khaki & navy ready?,ready_kosong_question,ready_kosong_question,0.9657692313194275,['warna: navy']
"sis, ready warna apa yg skrng ada? bisa pake gosend ya sis?",ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
size xl masih?,ready_kosong_question,ready_kosong_question,0.9657692313194275,['size: size xl']
"gan/sis, saya mau order 3 lusin untuk dasi warna merah marun (mix)... ready???",ready_kosong_question,ready_kosong_question,0.9657692313194275,['warna: merah']
size 30 ready,default fallback intent,ready_kosong_question,0.9657692313194275,['size: size 30']
itu ksong ka sisa navy z,default fallback intent,ready_kosong_question,0.9657692313194275,['warna: navy']
ready cheese dan green tea utk hr ini?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
selamat siang. warna apa yg ready?,default fallback intent,ready_kosong_question,0.9657692313194275,[]
ini sama fosfor juga ya gan seperti yg hijau? thanks before,default fallback intent,ready_kosong_question,0.9657692313194275,['warna: hijau']
maroon ready ndak,ready_kosong_question,ready_kosong_question,0.9657692313194275,['warna: maroon']
warna putih ada ?,ready_kosong_question,ready_kosong_question,0.9657692313194275,['warna: putih']
untuk nokia 3 ready stock?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
masih ready..?warna apa aja?tq,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
size 39 ready gan...?,ready_kosong_question,ready_kosong_question,0.9657692313194275,['size: size 39']
yg hijau ad kh,ready_kosong_question,ready_kosong_question,0.9657692313194275,['warna: hijau']
xl white ready gan,default fallback intent,ready_kosong_question,0.9657692313194275,[]
iya ready gan ..silhkn diorder,default fallback intent,ready_kosong_question,0.9657692313194275,[]
amlodipine 10 mg ready?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
ready kamlang merah nya gan??,ready_kosong_question,ready_kosong_question,0.9657692313194275,['warna: merah']
ready bukunya gan?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
ini ready gan? mau order pake gojek hari ini,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
"navy, abu tua, coklat tua ada sis?",ready_kosong_question,ready_kosong_question,0.9657692313194275,"['warna: navy', 'warna: cokelat']"
yg redy motif apa saja sis,default fallback intent,ready_kosong_question,0.9657692313194275,[]
sis ini 100% sesuai gambar? ada sabuk tali belakangnya juga? mau 4pc ready?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
sis ukuran 38 masih ready,ready_kosong_question,ready_kosong_question,0.9657692313194275,['size: size 38']
gan... ada warna putih ga?,ready_kosong_question,ready_kosong_question,0.9657692313194275,['warna: putih']
ready? 10rb dapat berapa ekor?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
hitam 39,default fallback intent,ready_kosong_question,0.9657692313194275,['warna: hitam']
biru orange ada nomer 44 atau 45 gan,ready_kosong_question,ready_kosong_question,0.9657692313194275,"['warna: biru', 'warna: orange']"
jak 5106...ada uk 30?,ready_kosong_question,ready_kosong_question,0.9657692313194275,['size: size 30']
warna gold ad gk?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
gan.. kamera dan memory 16gb ready kah?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
ready? bayar siang ini sore bisa dikirim gan?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
warna black redi gan? ini hardcase ya?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
iphone 6 yg ready warna apa aja gan?,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
ready gan pake grab soalnya butuh cepat buat istri,ready_kosong_question,ready_kosong_question,0.9657692313194275,[]
kaka ad warna ungu nya gak?,ready_kosong_question,ready_kosong_question,0.9657692313194275,['warna: ungu']
