intent_name,user_says
faq_play_kata_kata_di_play,Kenapa di Group chat tulisan saya gak muncul?
faq_play_kata_kata_di_play,Kok kata-kata saya gak muncul di Group chat ya min?
faq_play_kata_kata_di_play,Play error min? Kok chat saya gak muncul sama sekali ya?
faq_play_kata_kata_di_play,Tulisan sy di Play kok gak muncul ya min?
faq_play_kata_kata_di_play,Play lagi error ya min? Kok tulisan chat saya gak muncul ya?
faq_play_kata_kata_di_play,Kok di Play tulisan saya gak muncul ya min?
faq_play_kata_kata_di_play,Chat saya di Group chat kok gak ada sama sekali ya min?
faq_play_kata_kata_di_play,Play saya kok gak ada chat saya ya?
faq_play_kata_kata_di_play,Kenapa di Play chat saya gak muncul ya?
faq_play_kata_kata_di_play,Kenapa tulisan saya di Group chat gak muncul min?
faq_play_kata_kata_di_play,Di Play kok gak ada chat saya min?
faq_play_kata_kata_di_play,Di Play kok gak ada ya min tulisan saya?
faq_play_kata_kata_di_play,Group chat lagi error ya min? Kok tulisan chat saya gak muncul ya?
faq_play_kata_kata_di_play,Tulisan saya di Group chat kok gak muncul min?
faq_play_kata_kata_di_play,"Min, kok chat yang saya tulis di Group chat gak muncul ya min?"
faq_play_kata_kata_di_play,"Min, kok chat saya di Play gak muncul ya?"
faq_play_kata_kata_di_play,"Min, di Play kok tulisan saya gak muncul ya?"
faq_play_kata_kata_di_play,"Min, Group chat saya kok kosong ya chat nya?"
faq_play_kata_kata_di_play,Kenapa tulisan di Play gak muncul ya min?
faq_play_kata_kata_di_play,Di Group chat kok gak ada ya min tulisan saya?
faq_play_kata_kata_di_play,Kenapa di Play gak ada sama sekali chat saya min?
faq_play_kata_kata_di_play,Chat saya di Group chat kok gak ada min?
faq_play_kata_kata_di_play,Group chat saya kok gak ada chat saya ya?
faq_play_kata_kata_di_play,Kenapa tulisan saya di Group chat gak muncul ya min?
faq_play_kata_kata_di_play,"Min, di Group chat kok tulisan saya gak muncul ya?"
faq_play_kata_kata_di_play,Di Group chat kok gak ada chat saya min?
faq_play_kata_kata_di_play,Kenapa di Group chat chat saya gak muncul ya?
faq_play_kata_kata_di_play,"Min, kok chat yang saya tulis di Play gak muncul ya min?"
faq_play_kata_kata_di_play,Kok di Group chat tulisan saya gak muncul ya min?
faq_play_kata_kata_di_play,Chat saya di Play kok gak ada min?
faq_play_kata_kata_di_play,Chat saya di Play kok gak ada sama sekali ya min?
faq_play_kata_kata_di_play,Kok kata-kata saya gak muncul di Play ya min?
faq_play_kata_kata_di_play,Kenapa di Play tulisan saya gak muncul?
faq_play_kata_kata_di_play,Kenapa di Group chatgak ada sama sekali chat saya min?
faq_play_kata_kata_di_play,Tulisan sy di Group chat kok gak muncul ya min?
faq_play_kata_kata_di_play,"Min, kok chat saya di Group chat gak muncul ya?"
faq_play_kata_kata_di_play,Tulisan saya di Play kok gak muncul min?
faq_play_kata_kata_di_play,"Min, Play saya kok kosong ya chat nya?"
faq_play_kata_kata_di_play,Kenapa tulisan saya di Play gak muncul min?
faq_order_penjual_request_ubah_resi_saat_status_delivered,"minta bantuan update nomor AWB, saya tidak bisa ubah"
faq_order_penjual_request_ubah_resi_saat_status_delivered,"bagaimana jika resi yang saya masukkan ada kesalahan, saya tidak bisa edit nomor resi"
faq_order_penjual_request_ubah_resi_saat_status_delivered,"min, tolong bantu ubah resi pesanan ini ya, statusnya sudah terkirim"
faq_order_penjual_request_ubah_resi_saat_status_delivered,"tolong ubah resi invoice ini ya, status sudah delivered ke pembeli"
faq_order_penjual_request_ubah_resi_saat_status_delivered,"bantu edit resi ya, saya tidak bisa edit karena status sudah terkirim"
faq_order_penjual_request_ubah_resi_saat_status_delivered,request ubah resi saat status delivered
faq_order_penjual_request_ubah_resi_saat_status_delivered,"status resi sudah sampai, tapi saya ada kekeliruan. tolong bantu ubah ke nomor resi yang benar ya"
faq_order_penjual_request_ubah_resi_saat_status_delivered,sudah tidak bisa ubah resi krn sudah terkirim. ini resi yang benar
faq_order_penjual_request_ubah_resi_saat_status_delivered,"saya salah input nomor resi, statusnya sudah diterima. berikut saya lampirkan resi yang benar, mohon bantu ubah ya min"
faq_order_penjual_request_ubah_resi_saat_status_delivered,"berikut resi yang benar, tolong dibantu ubah krn status di saya sudah terkirim ke pembeli"
faq_order_penjual_request_ubah_resi_saat_status_delivered,"ada kesalahan tulis resi, pesanan terlanjur delivered. bantu ubah ke resi yang benar ya"
faq_order_penjual_request_ubah_resi_saat_status_delivered,"bantu edit resi, namun status sudah terkirim"
faq_order_penjual_request_ubah_resi_saat_status_delivered,salah input resi tapi statusnya sudah terlanjur delivered
faq_order_penjual_request_ubah_resi_saat_status_delivered,status pesanan sudah terkirim tapi saya salah input nomor resi. berikut saya lampirkan yang benar
faq_order_penjual_request_ubah_resi_saat_status_delivered,"status JNE sudah terkirim, padahal saya salah input resi. tolong ubah ke nomor resi yg benar"
faq_order_penjual_request_ubah_resi_saat_status_delivered,"tracking pesanan sudah diterima pembeli, tapi ternyata saya salah input resi. bantu edit"
